{;lon;lat;id;tags{;name;ref:vatin;addr:postcode;addr:city;start_date;addr:street;addr:housenumber;};}
;7.64605606129843;45.023415416499603;75;;Comunale 15 - Afc;IT07535100015;_10135;Torino;01/04/2007;Corso Traiano;_86;;
;7.65184905;45.03098655;76;;Comunale 28 - Afc;IT07034700018;_10134;Torino;01/04/2007;Corso Corsica;_9;;
;7.6483492;45.0181037;77;;Mdr S.n.c. Di Manenti A. E Arietti V.;IT11531900014;_10127;Torino;01/07/2017;Via Pio VII;_164/c;;
;7.65670043956929;45.0234245786123;78;;Ghezzo;IT09253670013;_10127;Torino;01/01/2008;Via Passo Buole;_59/H;;
;7.64605606129843;45.023415416499603;79;;Baggio Roba;IT00581160017;_10135;Torino;01/01/2005;Corso Traiano;_73;;
;7.62872698029852;45.017106191791001;80;;Gualdi;IT00546000019;_10134;Torino;01/01/2005;Corso Unione Sovietica;_85;;
;7.62872698029852;45.017106191791001;81;;Steffanone;IT00510850019;_10135;Torino;01/01/2005;Corso Unione Sovietica;_397;;
;7.653858;45.0339286;82;;Mdr S.n.c. Di Manenti A. E Arietti V.;IT11531900014;_10134;Torino;01/07/2017;Piazza Tancredi Galimberti;_7;;
;7.6859719;45.0709201;83;;Monviso;IT04747790014;_10134;Torino;01/01/2005;Corso Eusebio Giambone;_19;;
;7.65588346041373;45.037361396995401;84;;Gay;IT05905250014;_10134;Torino;01/01/2005;Via Tunisi;_99;;
;7.64605606129843;45.023415416499603;85;;Monari Snc Di Francesca E Maria Giovanna Monari;IT03106620010;_10127;Torino;01/02/2015;Corso Traiano;_158;;
;7.65588346041373;45.037361396995401;86;;Gussoni;IT07342040016;_10134;Torino;01/01/2005;Via Tunisi;_51;;
;7.65670043956929;45.0234245786123;87;;Guarino;IT07472010011;_10135;Torino;01/01/2005;Via Passo Buole;_160/A;;
;7.65165326639563;45.035965952436598;88;;Sant'eraldo Snc Di Migliari Cristina E Savio Mattia;IT09817810014;_10134;Torino;01/06/2008;Via Arnaldo Da Brescia;_25;;
;7.6859719;45.0709201;89;;Giardini Guala Sas Di Tuninetti Dott. Michele;IT09729590019;_10135;Torino;01/05/2016;Via Onorato Vigliani;_55/G;;
;7.65165326639563;45.035965952436598;90;;Farm Del Giglio Di Dr.ssa Coggi Paola Maria;IT11567180010;_10134;Torino;01/07/2017;Via Arnaldo Da Brescia;_38;;
;7.6945583586667;45.057257842930397;91;;Borgo Crimea;IT00552630014;_10133;Torino;01/01/2005;Corso Fiume;_4;;
;7.69860416694308;45.062410154982899;92;;Gran Madre;IT09578480015;_10131;Torino;01/09/2010;Piazza Gran Madre di Dio;_1;;
;7.69771693498544;45.062052114943498;93;;Antoniotti;IT-;_10133;Torino;01/09/2011;Corso Moncalieri;_59;;
;7.70361443143684;45.062918038639999;94;;Borgo Po Della Dott.ssa Boasso Lorena;IT03582290049;_10131;Torino;01/07/2017;Via Monferrato 22E;_;;
;7.69771693498544;45.062052114943498;95;;Pilonetto Sas Del Dott. Bellardone Alberto E C.;IT11224200011;_10133;Torino;01/07/2017;Corso Moncalieri;_257;;
;7.6859719;45.0709201;96;;Cavoretto Snc Delle Dr.sse Carla E Paola Giovanna Maria Piacentino;IT11520010015;_10133;Torino;01/07/2017;Piazza Freguglia;_6;;
;7.6120918;45.02008925;97;;Comunale 13 - Afc;IT00246650014;_10135;Torino;01/07/2017;Via Celeste Negarville;_8/10;;
;7.6859719;45.0709201;98;;Comunale 40 - Afc;IT07019070015;_10135;Torino;01/04/2007;Via Arturo Farinelli;_36/9;;
;7.6859719;45.0709201;99;;San Domenico;IT03015430014;_10135;Torino;01/12/2016;Corso Unione Sovietica;_585;;
;7.62872698029852;45.017106191791001;100;;Ottone;IT05455020015;_10135;Torino;01/01/2005;Corso Unione Sovietica;_491;;
